Name,Sessiontype,Presenter,Location,Capacity,Teaser,Description
Matt & Stephanie Corker,Featured Presenter 2,Matt & Stephanie Corker,Location,303,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Featured Presenter 2,Matt & Stephanie Corker,Location,304,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Case Studies 1,Matt & Stephanie Corker,Location,305,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Case Studies 1,Matt & Stephanie Corker,Location,306,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Case Studies 1,Matt & Stephanie Corker,Location,307,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Case Studies 1,Matt & Stephanie Corker,Location,308,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Case Studies 2,Matt & Stephanie Corker,Location,309,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Case Studies 2,Matt & Stephanie Corker,Location,310,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Case Studies 2,Matt & Stephanie Corker,Location,311,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Case Studies 2,Matt & Stephanie Corker,Location,312,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Highlighted Projects 1,Matt & Stephanie Corker,Location,313,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Highlighted Projects 1,Matt & Stephanie Corker,Location,314,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Highlighted Projects 1,Matt & Stephanie Corker,Location,315,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Highlighted Projects 1,Matt & Stephanie Corker,Location,316,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Highlighted Projects 2,Matt & Stephanie Corker,Location,317,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Highlighted Projects 2,Matt & Stephanie Corker,Location,318,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
